"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Positive Regulation Of Wnt Signaling Pathway (GO:0030177)","10/109",0.00935320769055831,0.0768042246897769,0,0,2.542663476874,11.8794151117017,"SEMA5A;SCEL;BMP2;ZEB2;CAV1;LRRK2;RSPO2;GPC3;TNFAIP3;DKK2"
"Fat Cell Differentiation (GO:0045444)","7/62",0.00954974947050441,0.077441834055773,0,0,3.19849874895746,14.8769864670867,"NR4A1;PID1;NR4A3;PPARG;GATA2;KLF4;SMAD6"
"Defense Response To Tumor Cell (GO:0002357)","3/12",0.00963812722273254,0.077441834055773,0,0,8.35332464146023,38.7763707274058,"PRF1;KLF4;RBMS3"
"Dendrite Self-Avoidance (GO:0070593)","3/12",0.00963812722273254,0.077441834055773,0,0,8.35332464146023,38.7763707274058,"ROBO4;CNTN6;NEXN"
"Macrophage Migration (GO:1905517)","3/12",0.00963812722273254,0.077441834055773,0,0,8.35332464146023,38.7763707274058,"EDNRB;SFTPD;CCL2"
"Negative Regulation Of Complement Activation (GO:0045916)","3/12",0.00963812722273254,0.077441834055773,0,0,8.35332464146023,38.7763707274058,"SERPING1;SVEP1;VSIG4"
"Neutrophil Mediated Immunity (GO:0002446)","3/12",0.00963812722273254,0.077441834055773,0,0,8.35332464146023,38.7763707274058,"IL6;ANXA3;PLA2G1B"
"Positive Regulation Of Cellular Extravasation (GO:0002693)","3/12",0.00963812722273254,0.077441834055773,0,0,8.35332464146023,38.7763707274058,"AGER;LYVE1;JAM3"
"Positive Regulation Of Neuroinflammatory Response (GO:0150078)","3/12",0.00963812722273254,0.077441834055773,0,0,8.35332464146023,38.7763707274058,"IL33;IL6;IL1B"
"Ras Protein Signal Transduction (GO:0007265)","12/144",0.00983030826759375,0.0787742397100207,0,0,2.29047733269369,10.5872389843949,"CNKSR2;RRAS;DOK6;PDPN;AGTR1;PLCE1;ARHGAP29;FGF2;ARHGAP6;CTNNAL1;ART4;RAPGEF4"
"Cellular Response To Mechanical Stimulus (GO:0071260)","6/48",0.00989172111892267,0.0788436117985596,0,0,3.58788332086761,16.5618743573013,"PTGER4;IL1B;PDE2A;TLR8;TLR4;AQP1"
"Positive Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000379)","6/48",0.00989172111892267,0.0788436117985596,0,0,3.58788332086761,16.5618743573013,"PID1;AGTR1;FPR2;CD36;TLR4;TGFBR2"
"Protein Polymerization (GO:0051258)","7/63",0.0103966614261923,0.0820252582394229,0,0,3.14121887287025,14.3436552022844,"PREX1;TPPP3;FAM107A;COBL;TPPP;ARHGAP6;WASF3"
"Adherens Junction Organization (GO:0034332)","5/35",0.0104006600444099,0.0820252582394229,0,0,4.18300653594771,19.0991310182067,"CDH5;RAMP2;CDHR3;FERMT2;JAM3"
"Macrophage Activation (GO:0042116)","5/35",0.0104006600444099,0.0820252582394229,0,0,4.18300653594771,19.0991310182067,"CD93;C5AR1;TLR4;CX3CL1;SNCA"
"Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900026)","5/35",0.0104006600444099,0.0820252582394229,0,0,4.18300653594771,19.0991310182067,"MYOC;MYADM;NEDD9;FERMT2;LIMS2"
"Nitrogen Compound Transport (GO:0071705)","13/163",0.0104889127044161,0.082503579140789,0,0,2.18441215323646,9.95531970577362,"SLC22A4;EDN1;RAMP2;CALCRL;RAMP3;AQP9;HBB;HBA1;AQP1;SLC6A4;PDPN;SLC19A3;ABCG2"
"Negative Regulation Of Actin Filament Polymerization (GO:0030837)","4/23",0.0107658844493601,0.0840188736792101,0,0,5.27992304521094,23.9253006859733,"TMSB15A;MYADM;SLIT2;KANK3"
"Positive Regulation Of Cell-Substrate Junction Organization (GO:0150117)","4/23",0.0107658844493601,0.0840188736792101,0,0,5.27992304521094,23.9253006859733,"MYOC;TEK;PPM1F;FERMT2"
"Protein Localization To Cell Junction (GO:1902414)","4/23",0.0107658844493601,0.0840188736792101,0,0,5.27992304521094,23.9253006859733,"HEG1;CGNL1;FERMT2;JAM3"
"Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157)","6/49",0.010914610794472,0.0849577387100957,0,0,3.50426153658834,15.8310374594906,"PTPRD;SELP;CADM1;CRTAM;ITGAL;SELE"
"Positive Regulation Of Interleukin-1 Production (GO:0032732)","7/64",0.0112968987240859,0.0877050137306307,0,0,3.08594881699662,13.8350091808098,"EGR1;IL6;TLR8;MNDA;CD36;NLRC4;TLR4"
"Neural Crest Cell Migration (GO:0001755)","5/36",0.0117045996993863,0.0901676507769732,0,0,4.04786000421674,18.0039639635605,"SEMA5A;SEMA6A;SEMA6D;SEMA3B;SEMA3G"
"Positive Regulation Of Myeloid Cell Differentiation (GO:0045639)","5/36",0.0117045996993863,0.0901676507769732,0,0,4.04786000421674,18.0039639635605,"CSF3;TAL1;ETS1;HOXA5;MTURN"
"Positive Regulation Of Signaling Receptor Activity (GO:2000273)","5/36",0.0117045996993863,0.0901676507769732,0,0,4.04786000421674,18.0039639635605,"EDN1;CCL2;ADRB2;SHANK3;HBEGF"
"Response To Type II Interferon (GO:0034341)","8/80",0.0117698787967727,0.0902055582655223,0,0,2.79352580927384,12.4094329096263,"CCL14;CCL23;CCL2;AQP4;TLR4;CX3CL1;GBP4;SNCA"
"Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901)","8/80",0.0117698787967727,0.0902055582655223,0,0,2.79352580927384,12.4094329096263,"BMP2;LATS2;DUSP1;HEG1;IL1B;PPARG;PKIG;RASIP1"
"Regulation Of Nitric-Oxide Synthase Biosynthetic Process (GO:0051769)","3/13",0.0121755891254782,0.0905903266301798,0,0,7.51760104302477,33.140007742024,"IL33;EDN1;TLR4"
"Cardiac Left Ventricle Morphogenesis (GO:0003214)","3/13",0.0121755891254782,0.0905903266301798,0,0,7.51760104302477,33.140007742024,"FOXF1;TBX5;TGFBR2"
"Regulation Of Vasculogenesis (GO:2001212)","3/13",0.0121755891254782,0.0905903266301798,0,0,7.51760104302477,33.140007742024,"TMEM100;RRAS;EMP2"
"Secondary Palate Development (GO:0062009)","3/13",0.0121755891254782,0.0905903266301798,0,0,7.51760104302477,33.140007742024,"TGFBR3;LRRC32;TGFBR2"
"Endothelial Cell Differentiation (GO:0045446)","3/13",0.0121755891254782,0.0905903266301798,0,0,7.51760104302477,33.140007742024,"ACVRL1;BMPR2;TIE1"
"Mature B Cell Differentiation Involved In Immune Response (GO:0002313)","3/13",0.0121755891254782,0.0905903266301798,0,0,7.51760104302477,33.140007742024,"DOCK11;IL6;MFNG"
"Negative Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090051)","3/13",0.0121755891254782,0.0905903266301798,0,0,7.51760104302477,33.140007742024,"STARD13;MMRN2;KLF4"
"Positive Regulation Of Cardiac Muscle Cell Proliferation (GO:0060045)","3/13",0.0121755891254782,0.0905903266301798,0,0,7.51760104302477,33.140007742024,"TGFBR3;FGF2;TBX2"
"Regulation Of Cellular Ketone Metabolic Process (GO:0010565)","3/13",0.0121755891254782,0.0905903266301798,0,0,7.51760104302477,33.140007742024,"PDK4;FGFR4;CES1"
"Regulation Of Cell-Matrix Adhesion (GO:0001952)","7/65",0.0122522457492904,0.0905903266301798,0,0,3.03258462511863,13.349577116681,"MYOC;LIMCH1;PEAK1;EMP2;CD36;CX3CL1;GPM6B"
"Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034114)","4/24",0.0125333776592393,0.0905903266301798,0,0,5.01566579634465,21.9654060646724,"IL1B;MYADM;KLF4;AGER"
"Eosinophil Chemotaxis (GO:0048245)","4/24",0.0125333776592393,0.0905903266301798,0,0,5.01566579634465,21.9654060646724,"CCL14;CCL23;CCL2;CX3CL1"
"Eosinophil Migration (GO:0072677)","4/24",0.0125333776592393,0.0905903266301798,0,0,5.01566579634465,21.9654060646724,"CCL14;CCL23;CCL2;CX3CL1"
"Positive Regulation Of BMP Signaling Pathway (GO:0030513)","4/24",0.0125333776592393,0.0905903266301798,0,0,5.01566579634465,21.9654060646724,"CDH5;BMPR2;ZNF423;ELAPOR2"
"Positive Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus (GO:1903846)","4/24",0.0125333776592393,0.0905903266301798,0,0,5.01566579634465,21.9654060646724,"CDKN1C;CDKN2B;ZEB2;TNXB"
"Positive Regulation Of Natural Killer Cell Mediated Immunity (GO:0002717)","4/24",0.0125333776592393,0.0905903266301798,0,0,5.01566579634465,21.9654060646724,"CADM1;CRTAM;SH2D1B;KLRD1"
"Positive Regulation Of p38MAPK Cascade (GO:1900745)","4/24",0.0125333776592393,0.0905903266301798,0,0,5.01566579634465,21.9654060646724,"BMP2;GADD45B;IL1B;SASH1"
"Positive Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030511)","4/24",0.0125333776592393,0.0905903266301798,0,0,5.01566579634465,21.9654060646724,"CDKN1C;CDKN2B;ZEB2;TNXB"
"Positive Regulation Of Vascular Endothelial Growth Factor Production (GO:0010575)","4/24",0.0125333776592393,0.0905903266301798,0,0,5.01566579634465,21.9654060646724,"CCBE1;IL6;IL1B;RORA"
"Regulation Of Interleukin-6 Production (GO:0032675)","10/114",0.0126018692557981,0.0905903266301798,0,0,2.41978744939271,10.5839328189389,"IL33;IL6;IL1B;TNFAIP3;TLR8;ARRB1;IL17D;AGER;TLR4;CX3CL1"
"Negative Regulation Of Canonical Wnt Signaling Pathway (GO:0090090)","10/114",0.0126018692557981,0.0905903266301798,0,0,2.41978744939271,10.5839328189389,"CCL14;BMP2;LATS2;SOX17;TMEM88;CAV1;MCC;DKK2;NKD1;RBMS3"
"Cellular Response To Interleukin-1 (GO:0071347)","8/81",0.0126331326765133,0.0905903266301798,0,0,2.75511451479524,12.0437966871107,"CCL14;EGR1;CCL23;PTGIS;HYAL1;IL1B;CCL2;CX3CL1"
"Regulation Of Cytokine Production (GO:0001817)","13/167",0.0126708213793447,0.0905903266301798,0,0,2.12722812194411,9.29269704541647,"BTNL9;SRGN;PTGER4;IL33;CADM1;CRTAM;SFTPD;FGR;IL6;RGCC;ALOX5;BCL6B;ACKR1"
