"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Endocytosis","14/252",0.109100241562912,0.436400966251648,0,0,1.47774665421724,3.27393023363587,"SH3GL3;CAV2;CAV1;ARAP2;ARAP3;ARRB1;TGFBR2;RAB11FIP1;GRK5;CXCR2;PIP5K1B;FGFR4;LDLR;SH3GL2"
"Amphetamine addiction","5/69",0.126452075431378,0.498477746628042,0,0,1.95731209150327,4.04750980597563,"GRIA1;ARC;MAOB;FOSB;FOS"
"Calcium signaling pathway","13/240",0.136779943653827,0.515883580273554,0,0,1.43761893400218,2.85997307958652,"NTRK2;PDE1C;TNNC1;VEGFD;ADRB1;ADRB2;FGF2;ADRA1A;EDNRB;AGTR1;PLCE1;NOS1;FGFR4"
"Phenylalanine metabolism","2/17",0.137700089809866,0.515883580273554,0,0,3.3359375,6.61408729204228,"AOC3;MAOB"
"Selenocompound metabolism","2/17",0.137700089809866,0.515883580273554,0,0,3.3359375,6.61408729204228,"INMT;PAPSS2"
"Morphine addiction","6/91",0.138454049117535,0.515883580273554,0,0,1.76886356636896,3.49742673155146,"PDE1C;GRK5;PDE2A;ARRB1;PDE8B;GNG11"
"Salivary secretion","6/93",0.148888436886903,0.547265605854562,0,0,1.72801949810435,3.29111335790937,"GUCY1A2;ADRB1;ATP1A2;NOS1;ADRB2;ADRA1A"
"Regulation of lipolysis in adipocytes","4/55",0.161075434889361,0.584166910532081,0,0,1.96375364767317,3.5855833882613,"FABP4;NPR1;ADRB1;ADRB2"
"Dilated cardiomyopathy","6/96",0.165176639810503,0.591158500374431,0,0,1.67015706806283,3.00751836049427,"DES;TNNC1;ITGA8;CACNA2D2;ADRB1;SGCG"
"Proteoglycans in cancer","11/205",0.168485151983397,0.595168329084208,0,0,1.42208277304647,2.53259809210429,"WNT2B;RRAS;FZD4;CAV2;CAV1;GPC3;PLCE1;TIMP3;TLR4;FGF2;HBEGF"
"Fc gamma R-mediated phagocytosis","6/97",0.170768022480451,0.595498745060034,0,0,1.65171739255509,2.91932664548747,"FCGR3B;CFL2;PRKCE;PIP5K1B;PLPP3;WASF3"
"Growth hormone synthesis, secretion and action","7/119",0.175246490938278,0.603380323230526,0,0,1.56602228047182,2.72732454473039,"SOCS2;GHR;SOCS3;SHC3;FOS;SSTR1;JUNB"
"Hippo signaling pathway","9/163",0.177815671334071,0.604573282535841,0,0,1.46495554379917,2.52998967943405,"BMP2;RASSF2;BMPR2;WNT2B;LATS2;FZD4;CCN2;NKD1;TGFBR2"
"AMPK signaling pathway","7/120",0.180400190887492,0.605788295325898,0,0,1.55208248761874,2.65806172216591,"CAB39L;SCD5;LEPR;PPARG;CD36;ACACB;ADRA1A"
"Wnt signaling pathway","9/166",0.191141669758711,0.634030904565479,0,0,1.43673677778987,2.37742638950298,"WNT2B;SOX17;FZD4;WIF1;RSPO2;PRICKLE2;ROR1;DKK2;NKD1"
"Viral myocarditis","4/60",0.199642205289812,0.640584941627151,0,0,1.78795225662066,2.88079961124649,"CAV1;PRF1;ITGAL;SGCG"
"Amoebiasis","6/102",0.19984560180603,0.640584941627151,0,0,1.56528141361257,2.52043210048371,"IL6;IL1B;COL4A3;CXCL3;CXCL2;TLR4"
"Histidine metabolism","2/22",0.206996332690678,0.640584941627151,0,0,2.50130208333333,3.93968635768562,"MAOB;ASPA"
"Vitamin B6 metabolism","1/6",0.209898446560071,0.640584941627151,0,0,5,7.80565726520074,"AOX1"
"Kaposi sarcoma-associated herpesvirus infection","10/193",0.211285426557795,0.640584941627151,0,0,1.36949956859362,2.12894915485418,"PREX1;RCAN1;GABARAPL1;ZFP36;IL6;FOS;CXCL3;GNG11;FGF2;CXCL2"
"Phospholipase D signaling pathway","8/148",0.211576338157121,0.640584941627151,0,0,1.4315710536183,2.22347236686719,"SHC3;RRAS;CXCR2;AGTR1;PIP5K1B;PLPP3;MS4A2;RAPGEF4"
"C-type lectin receptor signaling pathway","6/104",0.211958252744278,0.640584941627151,0,0,1.53317662143391,2.37851799773217,"IL6;EGR3;RRAS;IL1B;CLEC4E;IL17D"
"Toll-like receptor signaling pathway","6/104",0.211958252744278,0.640584941627151,0,0,1.53317662143391,2.37851799773217,"IL6;IL1B;TLR8;MAP3K8;FOS;TLR4"
"Gastric cancer","8/149",0.216671017465971,0.644886863893282,0,0,1.42134360864466,2.17376755821502,"CDKN2B;ABCB1;SHC3;WNT2B;GADD45B;FZD4;FGF2;TGFBR2"
"Influenza A","9/172",0.219019116571908,0.644886863893282,0,0,1.38341542852075,2.1008494995028,"SOCS3;IL33;TPSB2;IL6;NXF3;IL1B;CCL2;TPSAB1;TLR4"
"Regulation of actin cytoskeleton","11/218",0.220494405669394,0.644886863893282,0,0,1.33186305398026,2.01362105041414,"CXCL12;RRAS;CFL2;ITGA8;PIP5K1B;MYH11;FGFR4;ITGAL;MYL9;FGF2;MYH10"
"Parathyroid hormone synthesis, secretion and action","6/106",0.224318459190473,0.646590148583271,0,0,1.50235602094241,2.24555433345328,"EGR1;KL;JUND;ARRB1;FOS;HBEGF"
"Fat digestion and absorption","3/43",0.229140035883641,0.646590148583271,0,0,1.8764667535854,2.76482730677193,"PLA2G1B;CD36;PLPP3"
"Purine metabolism","7/129",0.229429428994092,0.646590148583271,0,0,1.43690780568507,2.11535790166489,"GUCY1A2;PDE1C;NPR1;PDE2A;PDE5A;PDE8B;PAPSS2"
"Th17 cell differentiation","6/107",0.230585457399181,0.646590148583271,0,0,1.48740345238712,2.18221978600303,"IL6;IL1B;RORA;FOS;IL17D;TGFBR2"
"Drug metabolism","6/108",0.236907176163984,0.650896484006099,0,0,1.47274407145057,2.12087940947676,"MAOB;ADH1B;AOX1;FMO2;FMO3;CES1"
"Insulin resistance","6/108",0.236907176163984,0.650896484006099,0,0,1.47274407145057,2.12087940947676,"SOCS3;IL6;PRKCE;CD36;ACACB;PPARGC1B"
"Natural killer cell mediated cytotoxicity","7/131",0.240898690337749,0.653424648233885,0,0,1.4135839005623,2.01206536444319,"SHC3;FCGR3B;ICAM2;PRF1;SH2D1B;KLRD1;ITGAL"
"Cardiac muscle contraction","5/87",0.243794789550463,0.653424648233885,0,0,1.52622349752909,2.15415524102495,"TNNC1;COX4I2;CACNA2D2;ATP1A2;COX7A1"
