"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"239942_at",-2.24147366666667,5.56265266666667,-14.3122956110634,9.99124012556019e-28,8.95526317811481e-25,52.4757414671807
"230670_at",-1.87920333333333,8.08363333333333,-14.3092170959619,1.01560974837696e-27,8.95620370846943e-25,52.4596275051733
"1552797_s_at",2.58946683333333,7.85914391666667,14.2801056689329,1.18565325512927e-27,1.02897764641576e-24,52.3072000535497
"235108_at",-2.0032765,7.31243941666667,-14.2382414949465,1.48150968367066e-27,1.26564909304208e-24,52.0878455189876
"204677_at",-2.2025655,9.08136291666667,-14.2317533221727,1.53357573536451e-27,1.28997312817007e-24,52.0538334603451
"227463_at",-1.3293345,8.38454675,-14.2248298877128,1.59116160469968e-27,1.31813273843871e-24,52.0175349190817
"242600_at",-1.152041,6.25228033333333,-14.1740142385579,2.08582694956581e-27,1.69738282419045e-24,51.7509657857655
"238206_at",-2.00599833333333,5.73718933333333,-14.1717583481761,2.11105682752539e-27,1.69738282419045e-24,51.7391257083755
"210838_s_at",-1.13336983333333,7.59448641666667,-14.1315578028851,2.61569663304276e-27,2.07265526683497e-24,51.528045828785
"227874_at",-2.92047883333333,8.60829175,-14.1157895706499,2.84523827104012e-27,2.22233432098741e-24,51.4452073439364
"233903_s_at",-2.22339716666667,6.32885008333333,-14.1110559019225,2.91801476499364e-27,2.24707686304263e-24,51.4203340966155
"225681_at",3.193161,9.455979,14.0963355360866,3.15648344055509e-27,2.39695461267152e-24,51.3429709416163
"223449_at",-1.61518283333333,7.95446808333333,-14.0762405924182,3.51390838865319e-27,2.63182111163854e-24,51.2373264494441
"228434_at",-2.91837833333333,7.8622695,-14.0629365869088,3.77261925343144e-27,2.78740483353194e-24,51.1673614751075
"206702_at",-2.6043515,8.23853391666667,-14.0563165612534,3.90838965017921e-27,2.84921605498064e-24,51.132540561062
"236154_at",-1.61395183333333,5.60090375,-14.047902707552,4.08804895878254e-27,2.92762348466918e-24,51.0882779134367
"230482_at",-1.9456845,7.06183275,-14.0385770811621,4.29687661570942e-27,3.01194524312708e-24,51.0392104718369
"202148_s_at",1.31495883333333,7.92401708333333,13.9881866665765,5.62507732058462e-27,3.84438878128705e-24,50.7739283963294
"204500_s_at",-1.0663335,8.56415675,-13.9529543153366,6.79170487179414e-27,4.58440078846104e-24,50.5882975790408
"226673_at",-1.5508275,8.78825591666667,-13.9372645605477,7.3866073317819e-27,4.92515555933141e-24,50.5055928271259
"226694_at",-1.73913116666667,11.26835775,-13.9084605589657,8.61822147785982e-27,5.67712360604802e-24,50.3536969280098
"205978_at",-2.27307616666667,5.79932275,-13.9057520298833,8.74413867268452e-27,5.69149740391698e-24,50.3394095337756
"208981_at",-1.55655583333333,11.0857999166667,-13.8968893887939,9.16920095632436e-27,5.89795367396511e-24,50.2926544392955
"63305_at",-1.2342025,7.57820941666667,-13.8696123294365,1.06120137458876e-26,6.69950961305407e-24,50.1487058553516
"220677_s_at",-1.72410266666667,7.24964633333333,-13.8687634174202,1.06603993842836e-26,6.69950961305407e-24,50.1442247582101
"203571_s_at",-2.566354,10.5363721666667,-13.7652065761292,1.85779778613209e-26,1.15426243132696e-23,49.5970679117022
