"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000183631.5",8.0359656681872,3.17290045127816,0.457033744921496,6.94237676437472,3.855572563075e-12,1.75533099583483e-11
"ENSG00000227769.7",5.15298332206209,2.40306294574451,0.346167891891232,6.94190016473152,3.86860587474898e-12,1.76059542849564e-11
"ENSG00000206936.1",2.21611849095279,2.32541215126369,0.334999872236829,6.94153145712167,3.87871834657647e-12,1.76497403992519e-11
"ENSG00000138684.9",14.9882589175584,1.83588826695495,0.264524684594754,6.94032872496374,3.9118859337635e-12,1.7796158723743e-11
"ENSG00000254704.3",4.53569421591528,3.00078138429114,0.432562801960129,6.93721552267857,3.99903511522091e-12,1.8188016669606e-11
"ENSG00000169031.20",1128.70602948995,-1.44633695359493,0.208514933096698,-6.93637108918331,4.02300003732925e-12,1.82946957779066e-11
"ENSG00000272787.1",17.4292641002883,1.10222960712386,0.158910342766211,6.93617286286683,4.02864604952107e-12,1.83180527156786e-11
"ENSG00000227964.1",2.81924300875723,3.16295836933325,0.456035176855363,6.93577717215534,4.0399396128256e-12,1.8362432674108e-11
"ENSG00000238755.3",17.8418405618983,-1.4365368329899,0.207174410665789,-6.93394917052428,4.09251752352014e-12,1.85896529228924e-11
"ENSG00000286303.1",5.97039539420222,2.4144649710632,0.348226468344761,6.93360554279511,4.10247575395687e-12,1.86325311388788e-11
"ENSG00000249835.2",7.86138308981,3.1115989176524,0.44884565733111,6.93244741667846,4.13621317343152e-12,1.87833846462834e-11
"ENSG00000261723.1",4.62530957322672,1.49861666259008,0.216220016271748,6.93098025072109,4.17934401258129e-12,1.89744541789292e-11
"ENSG00000230400.3",4.6415247860698,-1.37726934921347,0.198727559376603,-6.93043961055975,4.19534833612431e-12,1.90447082396648e-11
"ENSG00000272989.1",17.6227716067114,1.38734926991346,0.200203701515564,6.92968840941039,4.21768558094645e-12,1.91436891009861e-11
"ENSG00000160284.15",350.256654200987,1.04111962668098,0.150247062972423,6.92938421612988,4.22676401031955e-12,1.91824720084352e-11
"ENSG00000280369.1",3.23247807392856,2.01575975669585,0.290903758527287,6.92930117816531,4.22924554526474e-12,1.91913099824908e-11
