"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Negative Regulation Of Immune System Process (GO:0002683)","6/44",0.00027883238215954,0.0159600163416054,0,0,7.54613305880839,61.764342491986,"COL3A1;TSPAN6;SPINK5;SOX9;SMPDL3B;LGR4"
"Regulation Of Mitotic Cell Cycle (GO:0007346)","10/125",0.000282478165338149,0.0159600163416054,0,0,4.18035426731079,34.1614759193619,"CDC20;CCNB1;GMNN;RCC1;NEK2;SOX9;MKI67;DLGAP5;AURKA;MAD2L1"
"Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992)","7/63",0.00032018918449781,0.0176017513856363,0,0,5.98314950980392,48.1440020821029,"CDC20;CCNB1;STIL;RRM2;UBE2C;CDK1;DLGAP5"
"Regulation Of Neuron Apoptotic Process (GO:0043523)","9/105",0.000339389486991718,0.0178455006459886,0,0,4.50023091133005,35.9494744174704,"TFAP2A;TOX3;EGLN3;SIX4;MDK;TRIM2;KIF14;SIX1;CRLF1"
"Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266)","4/17",0.000350943965506167,0.0178455006459886,0,0,14.6524424480629,116.558479839733,"CCNB1;BIRC5;NDC80;MAD2L1"
"Mesenchyme Development (GO:0060485)","4/17",0.000350943965506167,0.0178455006459886,0,0,14.6524424480629,116.558479839733,"MESP1;SFRP2;HMGA2;SOX4"
"Maintenance Of Gastrointestinal Epithelium (GO:0030277)","4/18",0.000443859705524932,0.0194765183551188,0,0,13.60514424748,105.031741127511,"VSIG1;TFF1;SOX9;INAVA"
"Positive Regulation Of Chromosome Segregation (GO:0051984)","4/18",0.000443859705524932,0.0194765183551188,0,0,13.60514424748,105.031741127511,"CCNB1;CDK1;NCAPG;CDC6"
"Protein Localization To Chromosome, Centromeric Region (GO:0071459)","4/18",0.000443859705524932,0.0194765183551188,0,0,13.60514424748,105.031741127511,"CDK1;TTK;KNL1;CENPA"
"Positive Regulation Of Wnt Signaling Pathway (GO:0030177)","9/109",0.000447821590317253,0.0194765183551188,0,0,4.31933497536946,33.3068914862758,"COL1A1;SFRP4;DEPDC1B;CDH3;SFRP2;EGF;SULF1;SOX4;LGR4"
"L-fucose Catabolic Process (GO:0042355)","3/8",0.000459622852038201,0.0194765183551188,0,0,28.5145631067961,219.13739130644,"FUT8;FUT9;FUT2"
"L-fucose Metabolic Process (GO:0042354)","3/8",0.000459622852038201,0.0194765183551188,0,0,28.5145631067961,219.13739130644,"FUT8;FUT9;FUT2"
"Regulation Of Mitotic Centrosome Separation (GO:0046602)","3/8",0.000459622852038201,0.0194765183551188,0,0,28.5145631067961,219.13739130644,"CHEK1;NEK2;KIF11"
"Fucose Catabolic Process (GO:0019317)","3/8",0.000459622852038201,0.0194765183551188,0,0,28.5145631067961,219.13739130644,"FUT8;FUT9;FUT2"
"Skin Development (GO:0043588)","7/68",0.000513445940687084,0.0213132457828067,0,0,5.49132111861138,41.593274934226,"DSP;COL1A1;ST14;COL3A1;COL1A2;COL5A1;COL5A2"
"Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090287)","4/19",0.00055306538074841,0.0220575487145542,0,0,12.6974858069749,95.2315795106968,"NELL1;SFRP4;DOK5;SULF1"
"Regulation Of Smooth Muscle Cell Migration (GO:0014910)","4/19",0.00055306538074841,0.0220575487145542,0,0,12.6974858069749,95.2315795106968,"NELL1;PLAU;IGFBP3;CCN4"
"Mitotic Metaphase Plate Congression (GO:0007080)","6/50",0.000565348997772504,0.0221138434897937,0,0,6.5151144698822,48.7204646185331,"CCNB1;NUF2;KIF14;KIF2C;CEP55;NDC80"
"Positive Regulation Of Cell Migration (GO:0030335)","15/272",0.000596634952011408,0.0228972734413435,0,0,2.82023346303502,20.9379916658396,"LRRC15;CEMIP;MMP7;EGF;COL1A1;CCNA2;FERMT1;NELL1;CLDN3;PLAU;MDK;CCN4;F2RL1;SOX9;SMIM22"
"Regulation Of Epithelial Cell Proliferation (GO:0050678)","8/91",0.000608079075184084,0.0229043118319338,0,0,4.61845416062284,34.2006027363753,"SOX2;SFRP2;SIX4;UHRF1;SOX9;FUT2;SGPP2;NME1"
"Metaphase Plate Congression (GO:0051310)","6/51",0.000629671691967802,0.0232864040265911,0,0,6.37000814995925,46.9489474967323,"CCNB1;CENPF;KIF14;KIF2C;CEP55;NDC80"
"Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051988)","3/9",0.000678836761307715,0.0242681103299874,0,0,23.7609223300971,173.339014223196,"CCNB1;NEK2;ECT2"
"DNA Unwinding Involved In DNA Replication (GO:0006268)","4/20",0.000680079788008498,0.0242681103299874,0,0,11.9032846715328,86.8142312296194,"GINS1;GINS2;MCM4;MCM2"
"Positive Regulation Of Mitotic Nuclear Division (GO:0045840)","5/35",0.000729753888138343,0.0255917139391964,0,0,7.94918699186992,57.4154134028712,"CDC20;EGF;UBE2C;DLGAP5;AURKA"
"Regulation Of Cell Adhesion (GO:0030155)","10/144",0.00086397048583414,0.0297850164099431,0,0,3.58411645476322,25.282256936207,"ADAMDEC1;FRMD5;IBSP;PLAU;MDK;TESC;TNC;KIF14;C2CD4A;FUT2"
"Kinetochore Organization (GO:0051383)","3/10",0.00095487513980154,0.030828825942164,0,0,20.3654646324549,141.620014854383,"CENPF;NUF2;DLGAP5"
"Mitotic Spindle Elongation (GO:0000022)","3/10",0.00095487513980154,0.030828825942164,0,0,20.3654646324549,141.620014854383,"PRC1;KIF4A;BIRC5"
"Mitotic Spindle Midzone Assembly (GO:0051256)","3/10",0.00095487513980154,0.030828825942164,0,0,20.3654646324549,141.620014854383,"PRC1;KIF4A;BIRC5"
"Protein Localization To Condensed Chromosome (GO:1903083)","3/10",0.00095487513980154,0.030828825942164,0,0,20.3654646324549,141.620014854383,"CDK1;TTK;KNL1"
"Hexose Transmembrane Transport (GO:0008645)","4/22",0.000993670024483703,0.0315800754656227,0,0,10.5796161124628,73.1485806152989,"SLC2A1;SLC50A1;SLC2A5;SLC5A3"
"Protein Glycosylation (GO:0006486)","10/147",0.00101205030166934,0.0316693894399299,0,0,3.50509146616203,24.1703291297859,"GALNT7;GALNT6;FUT8;ST6GALNAC1;FUT9;GFPT1;GCNT3;PLOD2;FUT2;FUT3"
"Retina Homeostasis (GO:0001895)","5/39",0.00120932814663747,0.0341503886107621,0,0,7.01255380200861,47.1081648243519,"AZGP1;CDH3;IGKC;IGHA1;CST4"
"Positive Regulation Of Cytokinesis (GO:0032467)","5/39",0.00120932814663747,0.0341503886107621,0,0,7.01255380200861,47.1081648243519,"KIF14;BIRC5;CDC6;ECT2;CIT"
"Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079)","7/79",0.00126387769118237,0.0341503886107621,0,0,4.64974809368192,31.0304228786502,"CCNA2;CCNB2;CCNB1;CCNE2;CDKN2A;CDC6;CDKN3"
"AMP Metabolic Process (GO:0046033)","3/11",0.00129281215488136,0.0341503886107621,0,0,17.8188713592233,118.512163527428,"NT5E;SORD;AK4"
